Date,Open,High,Low,Close,Adj Close,Volume
2019-12-03,17.100000,17.174999,16.514999,16.715000,16.715000,3879528
2019-12-04,16.760000,16.900000,16.650000,16.875000,16.875000,2867752
2019-12-05,16.879999,16.915001,16.639999,16.775000,16.775000,2209672
2019-12-06,17.055000,17.170000,16.860001,17.020000,17.020000,2870715
2019-12-09,17.040001,17.150000,16.844999,16.850000,16.850000,2203334
2019-12-10,16.770000,16.775000,16.180000,16.475000,16.475000,4170265
2019-12-11,16.540001,16.590000,16.424999,16.520000,16.520000,2549018
2019-12-12,16.594999,16.740000,16.525000,16.625000,16.625000,2571685
2019-12-13,16.840000,17.200001,16.770000,16.795000,16.795000,3903200
2019-12-16,16.924999,17.195000,16.855000,17.080000,17.080000,3034481
2019-12-17,17.120001,17.200001,16.790001,16.900000,16.900000,2760632
2019-12-18,16.879999,16.889999,16.660000,16.790001,16.790001,2608889
2019-12-19,16.850000,16.850000,16.530001,16.639999,16.639999,2265806
2019-12-20,16.670000,16.760000,16.555000,16.674999,16.674999,4377377
2019-12-23,16.620001,16.674999,16.285000,16.459999,16.459999,3079589
2019-12-27,16.450001,16.605000,16.330000,16.424999,16.424999,2100335
2019-12-30,16.400000,16.485001,16.325001,16.410000,16.410000,1199310
2020-01-02,16.264999,16.775000,16.250000,16.680000,16.680000,3644014
2020-01-03,16.299999,16.334999,15.310000,15.590000,15.590000,16227652
2020-01-06,15.425000,15.445000,15.080000,15.340000,15.340000,6641199
2020-01-07,15.490000,15.645000,15.365000,15.365000,15.365000,4169914
2020-01-08,15.165000,15.560000,15.000000,15.540000,15.540000,6750636
2020-01-09,15.700000,16.195000,15.525000,16.160000,16.160000,8826601
2020-01-10,16.320000,16.465000,15.815000,15.815000,15.815000,5594260
2020-01-13,15.800000,15.845000,15.440000,15.500000,15.500000,6483774
2020-01-14,15.545000,15.555000,15.325000,15.330000,15.330000,4878103
2020-01-15,15.365000,15.425000,15.250000,15.320000,15.320000,3679600
2020-01-16,15.380000,15.405000,15.180000,15.325000,15.325000,3981887
2020-01-17,15.365000,15.450000,15.205000,15.250000,15.250000,4009140
2020-01-20,15.240000,15.240000,14.895000,14.945000,14.945000,6019287
2020-01-21,14.785000,14.830000,14.390000,14.440000,14.440000,8886013
2020-01-22,14.510000,14.565000,14.280000,14.470000,14.470000,4946887
2020-01-23,14.950000,14.950000,14.305000,14.405000,14.405000,9087280
2020-01-24,14.570000,14.700000,14.375000,14.425000,14.425000,5379941
2020-01-27,14.095000,14.095000,13.540000,13.800000,13.800000,12372095
2020-01-28,13.820000,14.120000,13.450000,14.000000,14.000000,10457161
2020-01-29,14.225000,14.290000,14.075000,14.170000,14.170000,7798259
2020-01-30,13.960000,14.105000,13.780000,14.030000,14.030000,7294274
2020-01-31,14.090000,14.175000,13.805000,13.830000,13.830000,6119463
2020-02-03,13.835000,14.085000,13.760000,14.060000,14.060000,5808671
2020-02-04,14.100000,14.570000,14.010000,14.520000,14.520000,6924639
2020-02-05,14.550000,15.465000,14.470000,15.035000,15.035000,12671893
2020-02-06,15.155000,15.250000,14.985000,15.000000,15.000000,4975426
2020-02-07,14.885000,14.915000,14.475000,14.690000,14.690000,6528384
2020-02-10,14.630000,14.685000,14.475000,14.490000,14.490000,4280303
2020-02-11,14.620000,15.055000,14.595000,15.055000,15.055000,5339126
2020-02-12,15.085000,15.465000,15.020000,15.370000,15.370000,6575110
2020-02-13,15.200000,15.250000,14.990000,15.210000,15.210000,5600865
2020-02-14,15.250000,15.425000,15.190000,15.210000,15.210000,3379814
2020-02-17,15.340000,15.400000,15.250000,15.300000,15.300000,3347057
2020-02-18,15.135000,15.290000,15.080000,15.290000,15.290000,3004989
2020-02-19,15.360000,15.440000,15.305000,15.400000,15.400000,4212416
2020-02-20,15.280000,15.340000,14.825000,15.015000,15.015000,9228166
2020-02-21,14.885000,14.965000,14.720000,14.815000,14.815000,5430244
2020-02-24,13.945000,14.000000,13.470000,13.510000,13.510000,19306507
2020-02-25,13.800000,13.800000,13.125000,13.300000,13.300000,11633316
2020-02-26,13.130000,13.335000,12.745000,13.060000,13.060000,14413852
2020-02-27,12.710000,12.745000,11.910000,12.270000,12.270000,19993900
2020-02-28,11.650000,12.100000,11.520000,11.690000,11.690000,19828175
